time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.21,0.043547 0.075393 0.406316,-9.81861 -1.25754 -2.71164,0.34 0.19    0,   0.341204   -0.189803 0.000702121,-0.34  0.19     0, -0.338748  -0.190185 0.00124805,-294.974 -4.08191  805.746,0 0 0,-299.703 -82.0322  110.329,0 0 0
0.22,0.039705 0.080034 0.396488, -10.4468 -0.714751  -1.77479,0.34 0.19    0,  0.344717  -0.189226 0.00271164,-0.34  0.19     0, -0.335096  -0.190726 0.00482004,-270.725  2.54288  970.578,0 0 0, -276.35 -44.0165  218.212,0 0 0
0.23,0.0348195 0.0841914  0.388047,  -10.9694 -0.0172224   -0.62376,0.34 0.19    0,  0.350392  -0.188295 0.00588329,-0.34  0.19     0,-0.329196   -0.1916 0.0104578,-224.813  5.73248   1090.8,0 0 0, -231.25 -10.9449  339.765,0 0 0
0.24,0.0293916 0.0878473  0.381088,-11.3904 0.794008 0.687751,0.34 0.19    0, 0.358082 -0.187034 0.0100718,-0.34  0.19     0,-0.321201 -0.192784  0.017903,-154.967  3.67799  1143.68,0 0 0,-162.086  12.0416  467.447,0 0 0
0.25,0.0239224  0.090984  0.375705,-11.7138  1.67791  2.10606,0.34 0.19    0, 0.367639 -0.185466 0.0151319,-0.34  0.19     0,-0.311265 -0.194255 0.0268976,-58.9115  -5.4295  1106.46,0 0 0,-66.5442   19.802   593.72,0 0 0
0.26, 0.018913 0.0935837  0.371993,-11.9437  2.59344  3.57746,0.34 0.19    0, 0.378916 -0.183616 0.0209184,-0.34  0.19     0,-0.299541 -0.195991 0.0371832, 65.6246 -23.3989  956.399,0 0 0,57.6917 7.19531 711.047,0 0 0
0.27,0.0148645 0.0956285  0.370046,-12.0842  3.49957  5.04828,0.34 0.19    0, 0.391765 -0.181509 0.0272859,-0.34  0.19     0,-0.286183 -0.197969 0.0485017,  216.16 -50.7899  682.927,0 0 0, 208.181 -28.5506  810.081,0 0 0
0.28,0.0122779 0.0971008  0.369958,-12.1392  4.35526  6.46482,0.34 0.19    0, 0.406039 -0.179167 0.0340892,-0.34  0.19     0,-0.271343 -0.200166 0.0605948, 334.343 -73.0023  426.276,0 0 0, 326.573 -60.7053  864.201,0 0 0
0.29,0.0116543 0.0979826  0.371826,-12.1129  5.11949  7.77338,0.34 0.19    0, 0.421591 -0.176616  0.041183,-0.34  0.19     0,-0.255175 -0.202561 0.0732044,407.116  -86.32 227.421,0 0 0, 399.771 -81.5771  872.339,0 0 0
0.3,0.0134948 0.0982563  0.375742,-12.0092  5.75121  8.92029,0.34 0.19    0, 0.438272  -0.17388 0.0484221,-0.34  0.19     0,-0.237832 -0.205129 0.0860722, 440.736 -91.9817  79.8775,0 0 0, 433.991 -92.6817  841.744,0 0 0
0.31,0.0181676 0.0979174  0.381733,-11.8328  6.21913  9.86435,0.34 0.19    0, 0.455937 -0.170982 0.0556612,-0.34  0.19     0,-0.219467 -0.207848   0.09894, 441.461 -91.2259 -22.8391,0 0 0, 435.451 -95.5349  779.662,0 0 0
0.32, 0.025509 0.0970151  0.389556,-11.5904  6.53087  10.6145,0.34 0.19    0, 0.474436 -0.167947 0.0627551,-0.34  0.19     0,-0.200234 -0.210696   0.11155, 415.546 -85.2912 -87.2129,0 0 0, 410.366 -91.6524  693.342,0 0 0
0.33,0.0352226  0.095612  0.398898,-11.2894  6.70381   11.192,0.34 0.19    0, 0.493624   -0.1648 0.0695584,-0.34  0.19     0,-0.180286  -0.21365  0.123643, 369.248 -75.4161 -119.729,0 0 0, 364.951 -82.5501  590.033,0 0 0
0.34,0.0470118 0.0937707  0.409445,-10.937 6.75531 11.6184,0.34 0.19    0, 0.513352 -0.161564 0.0759259,-0.34  0.19     0,-0.159775 -0.216687  0.134961, 308.824 -62.8391  -126.87,0 0 0, 305.424 -69.7436  476.982,0 0 0
0.35,0.0605801 0.0915538  0.420887,-10.5407  6.70273   11.915,0.34 0.19    0, 0.533473 -0.158263 0.0817123,-0.34  0.19     0,-0.138856 -0.219785  0.145247,  240.53  -48.799 -115.123,0 0 0, 238.001 -54.7487  361.438,0 0 0
0.36,0.075631 0.089024  0.43291,-10.1077  6.56346  12.1033,0.34 0.19    0,  0.55384 -0.154922 0.0867724,-0.34  0.19     0,-0.117682  -0.22292  0.154241, 170.624 -34.5342 -90.9705,0 0 0, 168.897 -39.0812  250.649,0 0 0
0.37,0.0918679 0.0862438  0.445202,-9.64542  6.35484  12.2046,0.34 0.19    0, 0.574306 -0.151565 0.0909609,-0.34  0.19     0,-0.0964054  -0.226071   0.161687, 105.361 -21.2834 -60.8975,0 0 0, 104.329 -24.2568  151.862,0 0 0
0.38, 0.108994 0.0832757   0.45745,-9.16109  6.09425  12.2403,0.34 0.19    0, 0.594722 -0.148216 0.0941326,-0.34  0.19     0, -0.07518 -0.229214  0.167324, 50.9981  -10.285 -31.3885,0 0 0, 50.5124 -11.7913  72.3263,0 0 0
0.39, 0.126714 0.0801825  0.469343,-8.66207  5.79906  12.2318,0.34 0.19    0, 0.614941 -0.144899 0.0961421,-0.34  0.19     0,-0.0541589  -0.232326   0.170896, 13.7923 -2.77767 -8.92787,0 0 0, 13.6641 -3.20045  19.2896,0 0 0
0.4,  0.14473 0.0770267  0.480567,-8.15569  5.48663  12.2006,0.34 0.19    0, 0.634817 -0.141639 0.0968442,-0.34  0.19     0,-0.0334954  -0.235386   0.172144,-9.09495e-13            0  1.81899e-12,0 0 0,-9.09495e-13 -1.13687e-13  4.54747e-13,0 0 0
0.41, 0.162796 0.0738604  0.490863,-7.64805  5.17144  12.1644,   0.341627    0.190063 0.000668457, 0.654692 -0.138378 0.0961421,  -0.338313    0.189697 0.000825991,-0.0128318  -0.238446   0.170896,0 0 0,0 0 0,0 0 0,0 0 0
0.42, 0.180861 0.0706942  0.500178,-7.14036  4.85638  12.1268,  0.346374   0.190248 0.00258163, 0.674912 -0.135062 0.0941326,  -0.33339   0.188813 0.00319003,0.00818926  -0.241559   0.167324,0 0 0,0 0 0,0 0 0,0 0 0
0.43, 0.198926 0.0675279  0.508512,-6.6326 4.54146 12.0879,  0.354044   0.190545 0.00560121, 0.695328 -0.131713 0.0909609, -0.325436   0.187385 0.00692123,0.0294147 -0.244702  0.161687,0 0 0,0 0 0,0 0 0,0 0 0
0.44, 0.216992 0.0643617  0.515866,-6.12476  4.22669  12.0475, 0.364435  0.190949 0.0095889, 0.715793 -0.128355 0.0867724, -0.31466  0.185451 0.0118487,0.0506912 -0.247852  0.154241,0 0 0,0 0 0,0 0 0,0 0 0
0.45, 0.235057 0.0611954  0.522239,-5.61682  3.91208  12.0058,  0.37735   0.19145 0.0144064,  0.73616 -0.125014 0.0817123,-0.301267  0.183046 0.0178015,0.0718656 -0.250988  0.145247,0 0 0,0 0 0,0 0 0,0 0 0
0.46, 0.253123 0.0580291  0.527632,-5.10877  3.59763  11.9627, 0.392589  0.192042 0.0199154, 0.756281 -0.121714 0.0759259,-0.285464  0.180209 0.0246088,0.0927845 -0.254085  0.134961,0 0 0,0 0 0,0 0 0,0 0 0
0.47, 0.271188 0.0548629  0.532043,-4.60059  3.28335  11.9182, 0.409953  0.192716 0.0259776, 0.776009 -0.118478 0.0695584,-0.267458  0.176976 0.0320997, 0.113295 -0.257122  0.123643,0 0 0,0 0 0,0 0 0,0 0 0
0.48, 0.289254 0.0516966  0.535474,-4.09226  2.96925  11.8723, 0.429242  0.193465 0.0324547, 0.795197  -0.11533 0.0627551,-0.247454  0.173385 0.0401033, 0.133243 -0.260076   0.11155,0 0 0,0 0 0,0 0 0,0 0 0
0.49, 0.307319 0.0485304  0.537925,-3.58377  2.65533   11.825, 0.450258  0.194281 0.0392085, 0.813697 -0.112295 0.0556612,-0.225661  0.169472 0.0484486, 0.152476 -0.262924   0.09894,0 0 0,0 0 0,0 0 0,0 0 0
0.5, 0.325385 0.0453641  0.539395,-3.07511  2.34161  11.7764, 0.472801  0.195156 0.0461005, 0.831361 -0.109398 0.0484221,-0.202283  0.165275 0.0569649, 0.170841 -0.265644 0.0860722,0 0 0,0 0 0,0 0 0,0 0 0
0.51,  0.34345 0.0421979  0.539884,-2.56625  2.02808  11.7263, 0.496672  0.196083 0.0529925, 0.848043 -0.106661  0.041183,-0.177529  0.160831 0.0654811, 0.188184 -0.268212 0.0732044,0 0 0,0 0 0,0 0 0,0 0 0
0.52, 0.361516 0.0390316  0.539392,-2.05719  1.71476  11.6749, 0.521672  0.197054 0.0597462, 0.863595  -0.10411 0.0340892,-0.151604  0.156177 0.0738265, 0.204352 -0.270606 0.0605948,0 0 0,0 0 0,0 0 0,0 0 0
