time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.21,0.0191744 0.0539702  0.428593,-12.7735  1.31521  1.44875,0.34 0.19    0,  0.340755  -0.189742 0.00156592,-0.34  0.19     0,  -0.33926  -0.189906 0.00161654, 43.3366 -32.8015  167.404,0 0 0, 49.1694 -54.3408  233.118,0 0 0
0.22,0.0220106 0.0569122  0.430718,-13.5979  1.30706  1.54838,0.34 0.19    0,   0.34296  -0.188989 0.00604768,-0.34  0.19     0, -0.337099  -0.189634 0.00624319,  50.949 -37.1442  192.549,0 0 0, 57.7992 -62.4858  269.858,0 0 0
0.23, 0.025137 0.0595884  0.433149,-14.3231  1.28054  1.64174,0.34 0.19    0, 0.346521 -0.187773 0.0131213,-0.34  0.19     0,-0.333609 -0.189193 0.0135455,57.8106 -40.749 215.642,0 0 0, 65.5816 -69.5886  303.433,0 0 0
0.24,0.0285709 0.0619905  0.435959,-14.9458  1.23889  1.73006,0.34 0.19    0, 0.351345 -0.186125 0.0224628,-0.34  0.19     0,-0.328879 -0.188595  0.023189, 63.5514 -43.3842  235.668,0 0 0, 72.0982 -75.2438  332.268,0 0 0
0.25,0.0323294 0.0641101  0.439223,-15.4625  1.18533  1.81452,0.34 0.19    0, 0.357342 -0.184077 0.0337482,-0.34  0.19     0,-0.323002 -0.187853 0.0348392, 67.8014 -44.8184  251.612,0 0 0, 76.9307 -79.0457  354.784,0 0 0
0.26,0.0364298 0.0659389  0.443014,-15.8698  1.12308  1.89632,0.34 0.19    0, 0.364417  -0.18166 0.0466536,-0.34  0.19     0,-0.316066 -0.186977 0.0481617, 70.1906 -44.8201  262.461,0 0 0, 79.6608 -80.5888  369.407,0 0 0
0.27,0.0408893 0.0674686  0.447407,-16.1645  1.05537  1.97668,0.34 0.19    0, 0.372479 -0.178907 0.0608548,-0.34  0.19     0,-0.308164 -0.185979 0.0628221, 70.3626 -43.2112  267.032,0 0 0, 79.8844 -79.5114  374.405,0 0 0
0.28,0.0457251 0.0686909  0.452474,-16.3431 0.985417   2.0568,0.34 0.19    0, 0.381436 -0.175848  0.076028,-0.34  0.19     0,-0.299385  -0.18487 0.0784858, 68.3382 -40.5726  262.861,0 0 0, 77.6106 -76.2029  367.282,0 0 0
0.29,0.0509544 0.0695975   0.45829,-16.4022 0.916454  2.13786,0.34 0.19    0, 0.391193 -0.172515 0.0918492,-0.34  0.19     0,-0.289821 -0.183662 0.0948184, 64.4682 -37.2462  250.565,0 0 0, 73.2335 -71.1349  349.173,0 0 0
0.3,0.0565945   0.07018  0.464929,-16.3385 0.851701  2.22108,0.34 0.19    0, 0.40166 -0.16894 0.107994,-0.34  0.19     0,-0.279561 -0.182366  0.111486,  59.102 -33.3886  231.614,0 0 0, 67.1509 -64.6597  322.088,0 0 0
0.31,0.0626526 0.0704371   0.47242,-16.1513 0.793714   2.3074,0.34 0.19    0, 0.412744 -0.165155  0.124139,-0.34  0.19     0,-0.268697 -0.180993  0.128153, 52.5888 -29.1561  207.481,0 0 0, 59.7603 -57.1295  288.039,0 0 0
0.32,0.0690958  0.070395   0.48062,-15.8504 0.742362  2.39672,0.34 0.19    0,0.424351 -0.16119 0.139961,-0.34  0.19     0, -0.25732 -0.179556  0.144485,  45.278 -24.7052  179.638,0 0 0, 51.4595 -48.8965  249.036,0 0 0
0.33,0.0758815 0.0700871  0.489341,-15.4487 0.696844  2.48869,0.34 0.19    0,  0.43639 -0.157078  0.155134,-0.34  0.19     0,-0.245519 -0.178066  0.160149, 37.5189 -20.1921  149.558,0 0 0, 42.6461 -40.3129  207.091,0 0 0
0.34,0.0829667 0.0695465  0.498395,-14.9586  0.65636  2.58294,0.34 0.19    0,0.448768 -0.15285 0.169335,-0.34  0.19     0,-0.233386 -0.176533  0.174809,  29.661 -15.7734  118.712,0 0 0, 33.7177 -31.7311  164.214,0 0 0
0.35,0.0903087 0.0688064  0.507594,-14.3927 0.620107  2.67913,0.34 0.19    0, 0.461393 -0.148538   0.18224,-0.34  0.19     0,-0.221011  -0.17497  0.188132, 22.0535 -11.6054  88.5729,0 0 0, 25.0719 -23.5031  122.416,0 0 0
0.36,0.0978647 0.0679002  0.516751,-13.7639 0.587286   2.7769,0.34 0.19    0, 0.474172 -0.144174  0.193526,-0.34  0.19     0,-0.208485 -0.173388  0.199782, 15.0459 -7.84452  60.6123,0 0 0, 17.1064 -15.9813   83.709,0 0 0
0.37, 0.105592 0.0668611  0.525679,-13.0845 0.557095   2.8759,0.34 0.19    0, 0.487013 -0.139788  0.202867,-0.34  0.19     0,-0.195898 -0.171798  0.209426, 8.98731 -4.64714  36.3026,0 0 0, 10.2188 -9.51781  50.1027,0 0 0
0.38, 0.113447 0.0657222  0.534189,-12.3673 0.528733  2.97576,0.34 0.19    0, 0.499823 -0.135413  0.209941,-0.34  0.19     0,-0.183342 -0.170212  0.216728, 4.22726 -2.16966  17.1159,0 0 0, 4.80678 -4.46496  23.6085,0 0 0
0.39, 0.121389 0.0645169  0.542093,-11.6249 0.501399  3.07614,0.34 0.19    0, 0.51251 -0.13108 0.214423,-0.34  0.19     0,-0.170907 -0.168641  0.221354,  1.11504 -0.568481   4.52434,0 0 0, 1.26797 -1.17494  6.23728,0 0 0
0.4, 0.129373 0.0632783  0.549205,  -10.87 0.474292  3.17667,0.34 0.19    0, 0.52498 -0.12682 0.215989,-0.34  0.19     0,-0.158683 -0.167097  0.222971,-2.84217e-14            0 -1.13687e-13,0 0 0,-2.84217e-14            0 -1.13687e-13,0 0 0
0.41, 0.137364 0.0620342  0.555367,-10.1129 0.446746  3.27706,   0.341048    0.190386 0.000931567, 0.537451 -0.122561  0.214423,  -0.338926    0.190187 0.000911564,-0.146459 -0.165553  0.221354,0 0 0,0 0 0,0 0 0,0 0 0
0.42, 0.145355 0.0607901  0.560548,-9.35595 0.418627  3.37726,  0.344108   0.191511 0.00359777, 0.550138 -0.118228  0.209941,  -0.33579   0.190732 0.00352052,-0.134024 -0.163982  0.216728,0 0 0,0 0 0,0 0 0,0 0 0
0.43,0.153346 0.059546 0.564749,-8.59901 0.389939  3.47724,   0.34905    0.19333 0.00780589, 0.562948 -0.113853  0.202867, -0.330726   0.191613 0.00763828,-0.121468 -0.162396  0.209426,0 0 0,0 0 0,0 0 0,0 0 0
0.44, 0.161337 0.0583018  0.567969,-7.84211 0.360682  3.57703, 0.355747  0.195794 0.0133632, 0.575788 -0.109467  0.193526,-0.323863  0.192807 0.0130762,-0.108881 -0.160806  0.199782,0 0 0,0 0 0,0 0 0,0 0 0
0.45, 0.169328 0.0570577  0.570209,-7.08525 0.330859   3.6766, 0.364069  0.198856 0.0200769, 0.588567 -0.105102   0.18224,-0.315334  0.194291 0.0196458,-0.0963555  -0.159224   0.188132,0 0 0,0 0 0,0 0 0,0 0 0
0.46, 0.177319 0.0558136  0.571468,-6.32845 0.300471  3.77597,  0.37389   0.20247 0.0277543,0.601192 -0.10079 0.169335, -0.30527  0.196042 0.0271583,-0.0839806  -0.157661   0.174809,0 0 0,0 0 0,0 0 0,0 0 0
0.47,  0.18531 0.0545695  0.571746,-5.57169  0.26952  3.87512, 0.385079  0.206587 0.0362026,  0.613571 -0.0965623   0.155134,-0.293803  0.198036 0.0354253,-0.0718475  -0.156128   0.160149,0 0 0,0 0 0,0 0 0,0 0 0
0.48, 0.193301 0.0533254  0.571043,-4.81497 0.238009  3.97406,  0.39751  0.211161 0.0452292,   0.62561 -0.0924504   0.139961,-0.281065  0.200253  0.044258,-0.0600468  -0.154638   0.144485,0 0 0,0 0 0,0 0 0,0 0 0
0.49, 0.201292 0.0520813   0.56936,-4.05831 0.205938  4.07277, 0.411053  0.216144 0.0546412,  0.637217 -0.0884858   0.124139,-0.267186  0.202667  0.053468,-0.0486692    -0.1532   0.128153,0 0 0,0 0 0,0 0 0,0 0 0
0.5, 0.209283 0.0508372  0.566697,-3.3017 0.17331 4.17127, 0.42558 0.221489 0.064246,  0.648301 -0.0847003   0.107994,-0.252299  0.205257 0.0628665,-0.0378053  -0.151828   0.111486,0 0 0,0 0 0,0 0 0,0 0 0
0.51, 0.217275 0.0495931  0.563052,-2.54514 0.140126  4.26955, 0.440963  0.227149 0.0738507,  0.658767 -0.0811254  0.0918492,-0.236535  0.207999  0.072265,-0.0275458  -0.150532  0.0948184,0 0 0,0 0 0,0 0 0,0 0 0
0.52, 0.225266 0.0483489  0.558427,-1.78862 0.106389   4.3676, 0.457074  0.233077 0.0832628,  0.668525 -0.0777926   0.076028,-0.220025  0.210871  0.081475,-0.0179813  -0.149324  0.0784858,0 0 0,0 0 0,0 0 0,0 0 0
0.53, 0.233257 0.0471048  0.552821, -1.03217 0.0721002   4.46542, 0.473783  0.239226 0.0922893,  0.677481 -0.0747337  0.0608548,-0.202901   0.21385 0.0903077,-0.00920256   -0.148215   0.0628221,0 0 0,0 0 0,0 0 0,0 0 0
0.54, 0.241248 0.0458607  0.546235,-0.275761 0.0372611   4.56302,0.490964 0.245547 0.100738,  0.685543 -0.0719801  0.0466536,-0.185295  0.216913 0.0985747,-0.00130017   -0.147217   0.0481617,0 0 0,0 0 0,0 0 0,0 0 0
0.55, 0.249239 0.0446166  0.538668,  0.48059 0.0018736   4.66038,0.508486 0.251994 0.108415,  0.692619 -0.0695635  0.0337482,-0.167338  0.220037  0.106087,0.0056352 -0.146341 0.0348392,0 0 0,0 0 0,0 0 0,0 0 0
0.56,  0.25723 0.0433725   0.53012,   1.23689 -0.0340604    4.75751,0.526223 0.258521 0.115129,  0.698615 -0.0675154  0.0224628,-0.149162  0.223199  0.112657,0.0115129 -0.145599  0.023189,0 0 0,0 0 0,0 0 0,0 0 0
0.57, 0.265221 0.0421284  0.520591,   1.99313 -0.0705391     4.8544,0.544045 0.265078 0.120686,   0.70344 -0.0658675  0.0131213,-0.130899  0.226376  0.118095,0.0162422 -0.145001 0.0135455,0 0 0,0 0 0,0 0 0,0 0 0
0.58, 0.273212 0.0408843  0.510082,  2.74931 -0.107561   4.95105,0.561824  0.27162 0.124894,  0.707001 -0.0646512 0.00604768,-0.112679  0.229545  0.122212, 0.0197326   -0.14456 0.00624319,0 0 0,0 0 0,0 0 0,0 0 0
0.59, 0.281203 0.0396401  0.498592,  3.50544 -0.145124   5.04747,0.579432 0.278099  0.12756,  0.709205 -0.0638984 0.00156592,-0.0946342   0.232684   0.124821, 0.0218933  -0.144287 0.00161654,0 0 0,0 0 0,0 0 0,0 0 0
0.6,0.289194 0.038396 0.486122,  4.26151 -0.183226   5.14364,0.596741 0.284468 0.128492,   0.709961  -0.0636404 1.26898e-13,-0.0768967    0.23577   0.125733,  0.0226336   -0.144194 1.94622e-13,0 0 0,0 0 0,0 0 0,0 0 0
0.61, 0.297185 0.0371692  0.472727,  5.01413 -0.221615   5.23958,0.614049 0.290836  0.12756,   0.709961  -0.0636404 1.26938e-13,-0.0591591   0.238856   0.124821,  0.0226336   -0.144194 1.94575e-13,0 0 0,0.112769  9.53605  30.5316,0 0 0,-0.816817   9.04178   29.6477
0.62, 0.305171 0.0360463  0.458687,  5.74632 -0.259036   5.33535,0.631657 0.297315 0.124894,   0.709961  -0.0636404 1.26938e-13,-0.0411146   0.241995   0.122212,  0.0226336   -0.144194 1.94575e-13,0 0 0,0.400435  33.9083  108.563,0 0 0,-2.90534  32.1511  105.418
0.63, 0.31315 0.035131 0.444339,  6.43773 -0.293984   5.43103,0.649437 0.303857 0.120686,   0.709961  -0.0636404 1.26938e-13,-0.0228947   0.245164   0.118095,  0.0226336   -0.144194 1.94575e-13,0 0 0,0.787034   66.763  213.748,0 0 0,-5.72269   63.304   207.55
0.64, 0.321116 0.0345273  0.430019,  7.06797 -0.324953   5.52669,0.667259 0.310415 0.115129,   0.709961  -0.0636404 1.26938e-13,-0.00463094    0.248342    0.112657,  0.0226336   -0.144194 1.94575e-13,0 0 0, 1.1966 101.746 325.741,0 0 0,-8.72599  96.4763  316.286
