time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.21,0.0391559 0.0566786  0.412903,-6.90326  1.13398 0.148291,0.34 0.19    0,  0.340991  -0.189648 0.00105559,-0.34  0.19     0, -0.338814  -0.190264 0.00115993, 8.44766 -7.68557  147.256,0 0 0, 2.49694 -76.1584  180.088,0 0 0
0.22,0.0426284  0.059974  0.411295,-7.29531  1.41096 0.501402,0.34 0.19    0,  0.343885  -0.188619 0.00407676,-0.34  0.19     0,  -0.33535  -0.191037 0.00447972, 10.1323 -10.1699  148.007,0 0 0, 2.86158 -76.8344  182.951,0 0 0
0.23,0.0462527 0.0629325  0.410086,-7.62059  1.71258 0.909698,0.34 0.19    0,  0.348564  -0.186955 0.00884512,-0.34  0.19     0, -0.329748  -0.192284 0.00971939,  14.194 -14.4536  155.735,0 0 0, 5.72878 -77.5978  190.492,0 0 0
0.24,0.0500818 0.0655232  0.409408,-7.8799 2.02645 1.36648,0.34 0.19    0, 0.354908 -0.184697 0.0151423,-0.34  0.19     0, -0.32215 -0.193975  0.016639, 21.2702 -21.0277  173.332,0 0 0, 11.7985 -79.1734  204.948,0 0 0
0.25,0.0541689 0.0677152  0.409391,-8.07401  2.34016  1.86506,0.34 0.19    0, 0.362798 -0.181888 0.0227498,-0.34  0.19     0,-0.312695 -0.196078 0.0249984,  31.998 -30.3834  203.691,0 0 0, 21.7705 -82.2863  228.556,0 0 0
0.26,0.0585669 0.0694778  0.410168,-8.2037 2.64132 2.39874,0.34 0.19    0, 0.372117 -0.178569 0.0314493,-0.34  0.19     0,-0.301525 -0.198559 0.0345578, 47.0148 -43.0121  249.703,0 0 0,  36.345 -87.6611  263.556,0 0 0
0.27,0.0633291   0.07078  0.411868,-8.26975  2.91754  2.96082,0.34 0.19    0, 0.382744 -0.174782 0.0410224,-0.34  0.19     0,-0.288781 -0.201388 0.0450772,  66.204 -58.7953  311.456,0 0 0,55.4642 -95.508 309.948,0 0 0
0.28,0.0685085 0.0715911  0.414623,-8.27294  3.15643  3.54461,0.34 0.19    0, 0.394561 -0.170568 0.0512507,-0.34  0.19     0,-0.274603 -0.204532 0.0563165, 80.5142 -70.4054  355.605,0 0 0,70.0559 -99.871 341.187,0 0 0
0.29,0.0741582   0.07188  0.418564,-8.21405  3.34558  4.14341,0.34 0.19    0,  0.40745 -0.165969 0.0619158,-0.34  0.19     0,-0.259132 -0.207959 0.0680357, 87.9082 -76.2241   374.62,0 0 0, 78.0218 -99.4572  351.469,0 0 0
0.3,0.0803313 0.0716161  0.423821,-8.09386   3.4726  4.75052,0.34 0.19    0, 0.421292 -0.161027 0.0727993,-0.34  0.19     0,-0.242508 -0.211637  0.079995, 89.3901 -77.0977  372.258,0 0 0, 80.3117 -95.0372  344.005,0 0 0
