time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0,   0    0 0.42,0 0 0,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-14.4452  4.76092  299.238,-196.473  56.6917  594.588, 12.206 11.0123 249.039,-24.7683  36.6978  299.928
0.21,-0.00131995   0.0897208    0.411399,-12.2853 -1.08329  0.50676,0.34 0.19    0,    0.34086   -0.189637 0.000710017,-0.34  0.19     0,  -0.339099   -0.189471 0.000990799,-60.5831  18.1789  214.743,0 0 0, -8.8543 -124.978  265.326,0 0 0
0.22,0.000562704   0.0946398    0.404073, -12.7802 -0.548053   1.43988,0.34 0.19    0,  0.343375  -0.188579 0.00274213,-0.34  0.19     0, -0.336469  -0.187915 0.00382653,-76.7556  34.0508  148.496,0 0 0,-21.4007 -105.068  186.483,0 0 0
0.23,0.00259846  0.0991203   0.398017, -13.2063 0.0442979   2.43546,0.34 0.19    0,  0.347451  -0.186873 0.00594945,-0.34  0.19     0, -0.332215  -0.185382 0.00830221,-83.7392  42.8405  93.7721,0 0 0,-25.1026 -81.1286  126.658,0 0 0
0.24,0.0049125  0.103181  0.393282,-13.5572 0.672163  3.45634,0.34 0.19    0, 0.352993 -0.184566 0.0101851,-0.34  0.19     0,-0.326445 -0.181918 0.0142128,-78.2748  41.3396  59.6162,0 0 0,-16.8732 -54.9533  97.8124,0 0 0
0.25,0.00763001   0.106842   0.389919,-13.8264  1.31395  4.46538,0.34 0.19    0, 0.359907 -0.181704 0.0153021,-0.34  0.19     0,-0.319266 -0.177573 0.0213534,-57.1034  26.3395  55.0724,0 0 0, 6.37433 -28.3348   111.91,0 0 0
0.26,0.0108762  0.110122  0.387979,-14.0075  1.94805  5.42543,0.34 0.19    0, 0.368096 -0.178334 0.0211536,-0.34  0.19     0,-0.310786 -0.172394  0.029519,-16.9659 -5.36814  89.1851,0 0 0, 47.7269 -3.06594  180.914,0 0 0
0.27,0.0147762  0.113039  0.387513,-14.0941  2.55289  6.29933,0.34 0.19    0, 0.377467 -0.174502 0.0275927,-0.34  0.19     0, -0.30111  -0.16643 0.0385045, 42.8903 -54.7707  166.218,0 0 0, 107.71 18.9361 309.638,0 0 0
0.28,0.0194552  0.115614  0.388572,-14.0796  3.10685  7.04994,0.34 0.19    0, 0.387925 -0.170257 0.0344725,-0.34  0.19     0,-0.290347 -0.159729  0.048105, 92.8719 -95.8577  231.496,0 0 0,155.993 35.0278 415.451,0 0 0
0.29,0.0250385  0.117865  0.391206,-13.9576  3.58834  7.64012,0.34 0.19    0, 0.399374 -0.165644 0.0416462,-0.34  0.19     0,-0.278603  -0.15234 0.0581155,125.368 -121.88 270.034,0 0 0,185.037 45.3084 476.494,0 0 0
0.3,0.0316511  0.119812  0.395467,-13.7217  3.97578   8.0327,0.34 0.19    0,  0.41172  -0.16071 0.0489667,-0.34  0.19     0,-0.265985  -0.14431  0.068331, 142.725 -134.886  285.576,0 0 0,197.518 50.5651 499.087,0 0 0
