time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.21, 0.009505 0.0713236  0.411279, -7.97464  -0.42271 -0.578362,0.34 0.19    0,   0.340836   -0.190091 0.000918613,-0.34  0.19     0,  -0.33911  -0.189742 0.00117498,-77.9547  4.10651  229.688,0 0 0,-44.4569 -129.202  203.898,0 0 0
0.22,0.00901763  0.0749287   0.405169, -8.75776 0.0610124 0.0929615,0.34 0.19    0,  0.343277  -0.190357 0.00354775,-0.34  0.19     0, -0.336513  -0.188987 0.00453786,-79.8096 -7.72648  275.239,0 0 0,-40.5714 -118.549  236.416,0 0 0
0.23,0.00852582  0.0780925   0.399671, -9.5405 0.631976  0.87084,0.34 0.19    0,  0.347219  -0.190787 0.00769734,-0.34  0.19     0, -0.332317  -0.187769 0.00984554,-72.2794    -22.1   316.65,0 0 0,-27.8461 -105.501  277.851,0 0 0
0.24,0.0082147 0.0808024  0.394964,-10.3013  1.26217  1.71651,0.34 0.19    0, 0.352562 -0.191369 0.0131773,-0.34  0.19     0,-0.326631 -0.186119 0.0168549, -53.072 -38.9827  350.291,0 0 0,-4.26156 -91.3753  329.195,0 0 0
0.25,0.00826939  0.0830459   0.391229,-11.0188   1.9236  2.59121,0.34 0.19    0, 0.359201 -0.192092 0.0197977,-0.34  0.19     0,-0.319565 -0.184067 0.0253229,-19.8954 -58.3435   372.53,0 0 0, 32.2018 -77.4913  391.438,0 0 0
0.26,0.00887501  0.0848103   0.388648,-11.6714  2.58824  3.45618,0.34 0.19    0, 0.367035 -0.192946 0.0273683,-0.34  0.19     0,-0.311228 -0.181647 0.0350064,29.5427 -80.151 379.737,0 0 0, 83.5634 -65.1672  465.573,0 0 0
0.27,0.0102167 0.0860831    0.3874,-12.2377  3.22809  4.27266,0.34 0.19    0, 0.375961 -0.193918 0.0356992,-0.34  0.19     0,-0.301728 -0.178889 0.0456622, 95.0984 -103.659  369.027,0 0 0, 149.409 -55.5434  549.401,0 0 0
0.28,0.0124795 0.0868517  0.387667,-12.696 3.81515 5.00187,0.34 0.19    0, 0.385877 -0.194999 0.0446002,-0.34  0.19     0,-0.291175 -0.175825 0.0570474, 147.541 -119.938  347.964,0 0 0,200.428 -47.228 603.832,0 0 0
0.29,0.0158486 0.0871036   0.38963,-13.0251  4.32139  5.60507,0.34 0.19    0, 0.396681 -0.196176 0.0538814,-0.34  0.19     0,-0.279677 -0.172486 0.0689188, 179.862 -127.345  320.558,0 0 0, 229.857 -39.6015  621.414,0 0 0
0.3,0.0205092 0.0868262  0.393468,-13.2033  4.71883  6.04348,0.34 0.19    0, 0.408269 -0.197439 0.0633526,-0.34  0.19     0,-0.267344 -0.168906 0.0810333, 194.834 -127.198  288.206,0 0 0, 240.743 -32.6598  607.803,0 0 0
