time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.21,0.00947559  0.0679644    0.41578,-5.57953  1.20439  1.84486,0.34 0.19    0,  0.340794  -0.189831 0.00141634,-0.34  0.19     0, -0.339227  -0.189815 0.00148511, 29.2793 -75.6883  133.291,0 0 0, 74.6788 -110.691  236.452,0 0 0
0.22,0.0116196 0.0710645  0.415826,-6.73103  1.28772  2.00602,0.34 0.19    0,  0.343113   -0.18934 0.00547002,-0.34  0.19     0,-0.336971 -0.189274 0.0057356, 34.1933 -75.8022   133.45,0 0 0,87.2147 -116.55 253.602,0 0 0
0.23,0.0141177 0.0736485  0.416293,-7.9662 1.36066 2.16253,0.34 0.19    0, 0.346858 -0.188545  0.011868,-0.34  0.19     0,-0.333327 -0.188401 0.0124442, 39.1896 -73.5664  137.333,0 0 0, 99.1089 -118.862  272.689,0 0 0
0.24,0.0170005  0.075755  0.417281,-9.24147  1.42245   2.3127,0.34 0.19    0, 0.351933 -0.187469 0.0203172,-0.34  0.19     0,-0.328389 -0.187218 0.0213037,44.2187 -69.025 146.887,0 0 0,  109.95 -117.213  294.812,0 0 0
0.25,0.0202986 0.0774222  0.418889,-10.5133  1.47234  2.45487,0.34 0.19    0,  0.35824 -0.186131 0.0305247,-0.34  0.19     0,-0.322252 -0.185747 0.0320067, 49.2311 -62.2219  164.056,0 0 0, 119.326 -111.187   321.07,0 0 0
0.26,0.0240426 0.0786886  0.421216,-11.7381  1.50956  2.58734,0.34 0.19    0, 0.365682 -0.184552 0.0421973,-0.34  0.19     0,-0.315011 -0.184012 0.0442461, 54.1775 -53.2012  190.786,0 0 0, 126.827 -100.369  352.563,0 0 0
0.27, 0.028263 0.0795926  0.424362,-12.8725  1.53337  2.70845,0.34 0.19    0, 0.374162 -0.182753 0.0550421,-0.34  0.19     0,-0.306761 -0.182034 0.0577145,  58.832 -42.2313  227.242,0 0 0, 131.865 -84.7644  388.652,0 0 0
0.28,0.0329905 0.0801726  0.428426,-13.8727  1.54301  2.81651,0.34 0.19    0, 0.383581 -0.180755  0.068766,-0.34  0.19     0,-0.297595 -0.179838 0.0721047,      61 -32.2115  252.347,0 0 0, 132.119 -69.4946  408.509,0 0 0
0.29,0.0382556  0.080467  0.433506,-14.6953  1.53772  2.90985,0.34 0.19    0, 0.393845 -0.178577 0.0830759,-0.34  0.19     0,-0.287609 -0.177445 0.0871095, 60.3916 -23.8967  261.383,0 0 0, 127.621 -56.1003  408.256,0 0 0
0.3,0.0440889 0.0805142  0.439703,-15.2967  1.51674  2.98679,0.34 0.19    0, 0.404853 -0.176242 0.0976789,-0.34  0.19     0,-0.276898 -0.174878  0.102422, 57.4598 -17.1295  256.798,0 0 0, 119.195 -44.4676  391.116,0 0 0
